iso3,country,legacy_category,primary_annual_score_sd_population,primary_mean_absolute_annual_change,ssr_percentile_rank_sd_population,production_per_person_rank_sd_population,primary_country_median_score,primary_country_rank,legacy_56_44_country_median_score,legacy_56_44_country_rank,minmax_country_median_score,minmax_country_rank,all_weight_rank_min,all_weight_rank_max,all_weight_top5_share,all_weight_bottom5_share,all_weight_rank_range,central_weight_rank_min,central_weight_rank_max,central_weight_top5_share,central_weight_bottom5_share,central_weight_rank_range
ARG,Argentina,category_1,0.012559161363529017,0.006631299734748033,0.008880668166167453,0.021613212776827883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
FRA,France,flexible_1,0.01161820336460171,0.011936339522546401,0.015771241964120327,0.01776133633233492,0.9482758620689655,2.0,0.9503042596348885,2.0,0.6588536126462521,3.0,2.0,3.0,1.0,0.0,1.0,2.0,2.5,1.0,0.0,0.5
USA,United States,category_1,0.017459909949209127,0.021220159151193616,0.038236883488325164,0.01706453997604803,0.9137931034482758,3.0,0.907707910750507,3.0,0.6658681259693185,2.0,2.0,5.0,1.0,0.0,3.0,2.5,4.0,1.0,0.0,1.5
RUS,Russian Federation,flexible_1,0.033137005042053476,0.023872679045092833,0.03783815639344142,0.05931819989552855,0.9051724137931034,4.0,0.904158215010142,4.0,0.48892274022039944,4.0,3.0,4.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0
THA,Thailand,flexible_2,0.04581545625058687,0.03580901856763925,0.06613655951772195,0.05707699618845549,0.8448275862068966,5.0,0.8529411764705882,5.0,0.43592675446100193,5.0,4.0,7.0,0.7821782178217822,0.0,3.0,5.0,5.0,1.0,0.0,0.0
BRA,Brazil,category_1,0.0643818996187573,0.05172413793103449,0.0636593496715275,0.0745862262548114,0.8017241379310345,6.0,0.8047667342799188,6.0,0.38639791055756334,6.0,6.0,8.5,0.0,0.0,2.5,6.0,8.0,0.0,0.0,2.0
MMR,Myanmar,flexible_2,0.03108233858158611,0.022546419098143214,0.061723961015476204,0.029659099947764257,0.7758620689655172,7.0,0.7718052738336714,7.0,0.3672797662202311,7.0,5.0,8.0,0.21782178217821782,0.0,3.0,6.0,7.0,0.0,0.0,1.0
DEU,Germany,category_2,0.04093785748422331,0.03315649867374004,0.046733167391650905,0.04158114043382791,0.75,8.0,0.7429006085192698,8.0,0.33511574159085666,8.0,6.0,10.0,0.0,0.0,4.0,7.0,8.0,0.0,0.0,1.0
VNM,Viet Nam,flexible_2,0.08830143729183916,0.035809018567639246,0.15121227072089485,0.03448275862068966,0.646551724137931,9.0,0.6333671399594321,10.0,0.31488262071084383,9.0,8.5,14.0,0.0,0.0,5.5,9.0,12.0,0.0,0.0,3.0
CHN,China,category_2,0.019237068167257787,0.011936339522546434,0.02872390095982908,0.015577722463883673,0.6379310344827587,10.0,0.6359026369168357,9.0,0.283801981660472,10.0,9.0,11.0,0.0,0.0,2.0,9.0,10.5,0.0,0.0,1.5
BGD,Bangladesh,category_3,0.027344339053170602,0.02917771883289129,0.05125283755341086,0.015577722463883673,0.5689655172413793,11.0,0.5628803245436105,11.0,0.23973410435429293,13.0,11.0,15.0,0.0,0.0,4.0,11.0,13.0,0.0,0.0,2.0
IND,India,category_3,0.0339731877441717,0.026525198938992026,0.042661349940120115,0.039485762418427085,0.5344827586206897,12.0,0.5567951318458418,12.0,0.25372397366228183,12.0,9.0,20.0,0.0,0.0,11.0,10.5,19.0,0.0,0.0,8.5
PAK,Pakistan,category_3,0.026642004498502396,0.029177718832891244,0.051665460500992695,0.03154248392824063,0.5172413793103449,13.0,0.5537525354969574,13.0,0.2565848145284689,11.0,6.5,23.0,0.0,0.0,16.5,9.0,20.0,0.0,0.0,11.0
ETH,Ethiopia,category_3,0.048155701468022526,0.034482758620689634,0.04731372589236094,0.06861275013391192,0.4913793103448276,14.0,0.5025354969574036,14.0,0.21142087466631468,18.0,13.0,18.0,0.0,0.0,5.0,14.0,18.0,0.0,0.0,4.0
GBR,United Kingdom,category_2,0.06163790027705515,0.059681697612732086,0.1041496281372708,0.03791823723729224,0.49137931034482757,15.0,0.4781947261663286,15.0,0.21544018452613095,17.0,13.0,19.0,0.0,0.0,6.0,13.0,18.0,0.0,0.0,5.0
TUR,Turkiye,flexible_2,0.06333690084051127,0.043766578249336864,0.10576803228366446,0.029659099947764275,0.4827586206896552,16.0,0.45841784989858014,18.0,0.23663429812386771,14.0,10.0,22.0,0.0,0.0,12.0,11.5,19.0,0.0,0.0,7.5
ZAF,South Africa,flexible_2,0.11444591286196003,0.09681697612732093,0.13302773021074657,0.10382876309535954,0.47413793103448276,17.0,0.47718052738336714,16.0,0.2330042586376741,15.0,15.0,18.0,0.0,0.0,3.0,15.0,18.0,0.0,0.0,3.0
IDN,Indonesia,unclassified,0.02562641877670542,0.03580901856763923,0.036283053848906996,0.04999453972951832,0.4655172413793104,18.0,0.4695740365111562,17.0,0.22679245936307899,16.0,14.0,18.0,0.0,0.0,4.0,14.0,18.0,0.0,0.0,4.0
TZA,Tanzania,flexible_2,0.046407496752258054,0.03448275862068966,0.08825848703038876,0.02511832272705805,0.4224137931034483,19.0,0.44371196754563896,19.0,0.20920591109785347,19.0,12.0,24.0,0.0,0.0,12.0,15.0,22.0,0.0,0.0,7.0
MEX,Mexico,flexible_2,0.026413313533900515,0.01856763925729443,0.03239641979794558,0.02753778297413533,0.37931034482758624,20.0,0.3630831643002028,20.0,0.16881642761083943,21.0,14.0,23.0,0.0,0.0,9.0,16.0,22.0,0.0,0.0,6.0
ITA,Italy,category_2,0.04101188622006579,0.02917771883289124,0.03909977306992005,0.05311295234691582,0.3620689655172414,21.0,0.3438133874239351,21.0,0.16403860199145054,22.0,14.5,24.0,0.0,0.0,9.5,18.0,23.0,0.0,0.0,5.0
PHL,Philippines,unclassified,0.026442008070916116,0.014588859416445627,0.04412924351519437,0.018431809787063744,0.3448275862068966,22.0,0.34279918864097364,22.0,0.1743669630327047,20.0,19.0,22.0,0.0,0.0,3.0,20.0,22.0,0.0,0.0,2.0
NGA,Nigeria,category_3,0.03727277327690038,0.021220159151193626,0.0710880280278907,0.008880668166167466,0.2931034482758621,23.0,0.30730223123732253,23.0,0.15542987841396083,23.0,18.0,25.0,0.0,0.0,7.0,20.0,25.0,0.0,0.0,5.0
IRN,"Iran, Islamic Rep.",flexible_2,0.051149161717475834,0.05305039787798409,0.06308496785648127,0.06595284649751668,0.24137931034482757,24.0,0.22920892494929004,24.0,0.14501405081731777,24.0,21.0,25.0,0.0,0.0,4.0,23.0,25.0,0.0,0.0,2.0
EGY,"Egypt, Arab Rep.",category_3,0.034745655122329765,0.02254641909814324,0.031924831026639705,0.06949131024465953,0.22413793103448276,25.0,0.22008113590263692,25.0,0.1222551386980388,25.0,21.5,26.5,0.0,0.38613861386138615,5.0,24.0,26.0,0.0,0.27450980392156865,2.0
COD,"Congo, Dem. Rep.",category_3,0.015233148863119432,0.015915119363395215,0.030466297726238864,0.0,0.1724137931034483,26.0,0.1926977687626775,26.0,0.11774244630960995,26.0,20.0,30.0,0.0,0.6138613861386139,10.0,24.0,28.0,0.0,0.7254901960784313,4.0
KEN,Kenya,unclassified,0.028934335281947613,0.02652519893899204,0.04216069647444259,0.025238794990048274,0.12068965517241378,27.0,0.12271805273833672,27.0,0.08603270625887469,27.0,26.0,27.0,0.0,1.0,1.0,26.0,27.0,0.0,1.0,1.0
COL,Colombia,unclassified,0.013321002249251195,0.0066312997347480135,1.3877787807814457e-17,0.026642004498502386,0.06896551724137931,28.5,0.06896551724137931,28.0,0.04177485445778484,28.0,28.0,29.0,0.0,1.0,1.0,28.0,29.0,0.0,1.0,1.0
