indicator_code,feature_name,iso3,country,included_in_30_country_model_scope,expected_years,observed_years,missing_year_count,missing_years,coverage_fraction,minimum_required_observed_years,country_gate_pass
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,ARG,Argentina,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,BGD,Bangladesh,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,BRA,Brazil,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,CHN,China,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,COD,"Congo, Dem. Rep.",True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,COL,Colombia,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,DEU,Germany,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,EGY,"Egypt, Arab Rep.",True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,ETH,Ethiopia,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,FRA,France,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,GBR,United Kingdom,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,IDN,Indonesia,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,IND,India,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,IRN,"Iran, Islamic Rep.",True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,ITA,Italy,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,JPN,Japan,False,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,KEN,Kenya,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,KOR,"Korea, Rep.",True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,MEX,Mexico,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,MMR,Myanmar,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,MYS,Malaysia,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,NGA,Nigeria,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,PAK,Pakistan,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,PHL,Philippines,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,RUS,Russian Federation,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,THA,Thailand,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,TUR,Turkiye,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,TZA,Tanzania,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,USA,United States,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,VNM,Viet Nam,True,12,12,0,,1,8,True
AG.CON.FERT.ZS,fertilizer_consumption_kg_per_hectare_arable_land,ZAF,South Africa,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,ARG,Argentina,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,BGD,Bangladesh,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,BRA,Brazil,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,CHN,China,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,COD,"Congo, Dem. Rep.",True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,COL,Colombia,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,DEU,Germany,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,EGY,"Egypt, Arab Rep.",True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,ETH,Ethiopia,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,FRA,France,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,GBR,United Kingdom,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,IDN,Indonesia,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,IND,India,True,12,12,0,,1,8,True
AG.LND.ARBL.HA.PC,arable_land_hectares_per_person,IRN,"Iran, Islamic Rep.",True,12,12,0,,1,8,True
