iso3,country,year,pou_year_period,pou_lower_bound,pou_upper_bound,pou_value_status,fies_year_period,fies_exact_value,fies_value_status
ARG,Argentina,2010,2009-2011,3.7,3.7,observed_exact,,,
ARG,Argentina,2011,2010-2012,3.7,3.7,observed_exact,,,
ARG,Argentina,2012,2011-2013,3.6,3.6,observed_exact,,,
ARG,Argentina,2013,2012-2014,3.2,3.2,observed_exact,,,
ARG,Argentina,2014,2013-2015,2.9,2.9,observed_exact,,,
ARG,Argentina,2015,2014-2016,2.9,2.9,observed_exact,2014-2016,19.2,observed_exact
ARG,Argentina,2016,2015-2017,3.2,3.2,observed_exact,2015-2017,25.9,observed_exact
ARG,Argentina,2017,2016-2018,3.5,3.5,observed_exact,2016-2018,32.3,observed_exact
ARG,Argentina,2018,2017-2019,3.7,3.7,observed_exact,2017-2019,35.8,observed_exact
ARG,Argentina,2019,2018-2020,3.6,3.6,observed_exact,2018-2020,35.8,observed_exact
ARG,Argentina,2020,2019-2021,3.5,3.5,observed_exact,2019-2021,36.9,observed_exact
ARG,Argentina,2021,2020-2022,3.3,3.3,observed_exact,2020-2022,36.9,observed_exact
ARG,Argentina,2022,2021-2023,3.3,3.3,observed_exact,2021-2023,36.1,observed_exact
ARG,Argentina,2023,2022-2024,3.2,3.2,observed_exact,2022-2024,33.8,observed_exact
BGD,Bangladesh,2010,2009-2011,18.2,18.2,observed_exact,,,
BGD,Bangladesh,2011,2010-2012,18,18,observed_exact,,,
BGD,Bangladesh,2012,2011-2013,17.3,17.3,observed_exact,,,
BGD,Bangladesh,2013,2012-2014,16.8,16.8,observed_exact,,,
BGD,Bangladesh,2014,2013-2015,15.6,15.6,observed_exact,,,
BGD,Bangladesh,2015,2014-2016,15.3,15.3,observed_exact,2014-2016,30.6,observed_exact
BGD,Bangladesh,2016,2015-2017,14.4,14.4,observed_exact,2015-2017,30.3,observed_exact
BGD,Bangladesh,2017,2016-2018,13.4,13.4,observed_exact,2016-2018,29.9,observed_exact
BGD,Bangladesh,2018,2017-2019,12.1,12.1,observed_exact,2017-2019,30,observed_exact
BGD,Bangladesh,2019,2018-2020,10.9,10.9,observed_exact,2018-2020,30.4,observed_exact
BGD,Bangladesh,2020,2019-2021,10.3,10.3,observed_exact,2019-2021,30.3,observed_exact
BGD,Bangladesh,2021,2020-2022,9.2,9.2,observed_exact,2020-2022,29.7,observed_exact
BGD,Bangladesh,2022,2021-2023,8.9,8.9,observed_exact,2021-2023,27.5,observed_exact
BGD,Bangladesh,2023,2022-2024,8.7,8.7,observed_exact,2022-2024,26,observed_exact
BRA,Brazil,2010,2009-2011,3,3,observed_exact,,,
BRA,Brazil,2011,2010-2012,2.7,2.7,observed_exact,,,
BRA,Brazil,2012,2011-2013,0,2.5,left_censored,,,
BRA,Brazil,2013,2012-2014,0,2.5,left_censored,,,
BRA,Brazil,2014,2013-2015,0,2.5,left_censored,,,
BRA,Brazil,2015,2014-2016,0,2.5,left_censored,2014-2016,13.3,observed_exact
BRA,Brazil,2016,2015-2017,0,2.5,left_censored,2015-2017,15.6,observed_exact
BRA,Brazil,2017,2016-2018,0,2.5,left_censored,2016-2018,15.5,observed_exact
BRA,Brazil,2018,2017-2019,0,2.5,left_censored,2017-2019,14.2,observed_exact
BRA,Brazil,2019,2018-2020,0,2.5,left_censored,2018-2020,15.8,observed_exact
BRA,Brazil,2020,2019-2021,2.8,2.8,observed_exact,2019-2021,19.4,observed_exact
BRA,Brazil,2021,2020-2022,3.5,3.5,observed_exact,2020-2022,22.1,observed_exact
BRA,Brazil,2022,2021-2023,3.4,3.4,observed_exact,2021-2023,18.4,observed_exact
BRA,Brazil,2023,2022-2024,2.7,2.7,observed_exact,2022-2024,13.3,observed_exact
CHN,China,2010,2009-2011,0,2.5,left_censored,,,
CHN,China,2011,2010-2012,0,2.5,left_censored,,,
CHN,China,2012,2011-2013,0,2.5,left_censored,,,
CHN,China,2013,2012-2014,0,2.5,left_censored,,,
CHN,China,2014,2013-2015,0,2.5,left_censored,,,
CHN,China,2015,2014-2016,0,2.5,left_censored,2014-2016,,suppressed
CHN,China,2016,2015-2017,0,2.5,left_censored,2015-2017,,suppressed
CHN,China,2017,2016-2018,0,2.5,left_censored,2016-2018,,suppressed
CHN,China,2018,2017-2019,0,2.5,left_censored,2017-2019,,suppressed
CHN,China,2019,2018-2020,0,2.5,left_censored,2018-2020,,suppressed
CHN,China,2020,2019-2021,0,2.5,left_censored,2019-2021,,suppressed
CHN,China,2021,2020-2022,0,2.5,left_censored,2020-2022,,suppressed
CHN,China,2022,2021-2023,0,2.5,left_censored,2021-2023,,suppressed
CHN,China,2023,2022-2024,0,2.5,left_censored,2022-2024,,suppressed
COD,"Congo, Dem. Rep.",2010,2009-2011,29.6,29.6,observed_exact,,,
COD,"Congo, Dem. Rep.",2011,2010-2012,31.4,31.4,observed_exact,,,
COD,"Congo, Dem. Rep.",2012,2011-2013,32,32,observed_exact,,,
COD,"Congo, Dem. Rep.",2013,2012-2014,31.6,31.6,observed_exact,,,
COD,"Congo, Dem. Rep.",2014,2013-2015,31.6,31.6,observed_exact,,,
COD,"Congo, Dem. Rep.",2015,2014-2016,32.8,32.8,observed_exact,2014-2016,,published_missing
COD,"Congo, Dem. Rep.",2016,2015-2017,34,34,observed_exact,2015-2017,,published_missing
COD,"Congo, Dem. Rep.",2017,2016-2018,34.4,34.4,observed_exact,2016-2018,,published_missing
COD,"Congo, Dem. Rep.",2018,2017-2019,34,34,observed_exact,2017-2019,,published_missing
COD,"Congo, Dem. Rep.",2019,2018-2020,34.4,34.4,observed_exact,2018-2020,69.2,observed_exact
COD,"Congo, Dem. Rep.",2020,2019-2021,34,34,observed_exact,2019-2021,72.3,observed_exact
