fold,feature,permutation_group_columns,grouped_permutation_importance_mean_mae_increase,grouped_permutation_importance_sd,permutation_repeats,importance_rank,top_five,heldout_feature_shap_spearman,heldout_shap_direction,missingness_indicator_in_model
1,electricity_access_pct,electricity_access_pct,0.00199546263926519,0.000739020555668868,30,6,False,0.729719762735845,positive,False
1,rural_population_pct,rural_population_pct,0.00312227033042377,0.000943479365239728,30,5,True,0.118303427873175,positive,False
1,rural_population_growth_pct,rural_population_growth_pct,0.0107745500854611,0.0027156751254008,30,4,True,-0.536304585503891,negative,False
1,female_agricultural_employment_pct,female_agricultural_employment_pct,0.0185164917128301,0.00503849084873696,30,3,True,-0.615184256222265,negative,False
1,arable_land_hectares_per_person,arable_land_hectares_per_person,0.128451165364135,0.0158623455102353,30,1,True,0.977715608720818,positive,False
1,fertilizer_consumption_kg_per_hectare_arable_land,fertilizer_consumption_kg_per_hectare_arable_land,0.02176984032129,0.00475794771350802,30,2,True,0.616566981799473,positive,False
2,electricity_access_pct,electricity_access_pct,-0.00901211905689877,0.00252774142073005,30,6,False,0.934497740641655,positive,False
2,rural_population_pct,rural_population_pct,-0.00382718112599036,0.00312806577380224,30,4,True,-0.0382982828477716,neutral_or_weak,False
2,rural_population_growth_pct,rural_population_growth_pct,0.00490332173816165,0.00267021708857516,30,2,True,-0.84532767380539,negative,False
2,female_agricultural_employment_pct,female_agricultural_employment_pct,-0.00543792767378361,0.00469102380378427,30,5,True,-0.0794591248588675,neutral_or_weak,False
2,arable_land_hectares_per_person,arable_land_hectares_per_person,0.0137450539223126,0.00789247675232313,30,1,True,0.713936587561901,positive,False
2,fertilizer_consumption_kg_per_hectare_arable_land,fertilizer_consumption_kg_per_hectare_arable_land,-0.000365916581525014,0.00236630686848115,30,3,True,0.190751816837096,positive,False
3,electricity_access_pct,electricity_access_pct,0.000573142663630836,0.000487458071516571,30,4,True,0.743643068309166,positive,False
3,rural_population_pct,rural_population_pct,-0.00180393180931921,0.00371739287177161,30,5,True,0.821596244131455,positive,False
3,rural_population_growth_pct,rural_population_growth_pct,0.00946125084962611,0.00380760896934933,30,2,True,-0.739243681265676,negative,False
3,female_agricultural_employment_pct,female_agricultural_employment_pct,0.00137366243773372,0.00200746782664444,30,3,True,-0.268184449160718,negative,False
3,arable_land_hectares_per_person,arable_land_hectares_per_person,0.0265638061597333,0.012229795170631,30,1,True,0.635796514245289,positive,False
3,fertilizer_consumption_kg_per_hectare_arable_land,fertilizer_consumption_kg_per_hectare_arable_land,-0.00710624797343496,0.00602448678195587,30,6,False,0.934754646601068,positive,False
4,electricity_access_pct,electricity_access_pct,0.000279877231629754,0.000761503650784702,30,5,True,0.631991576109192,positive,False
4,rural_population_pct,rural_population_pct,0.00379518144126312,0.00110271064038932,30,4,True,0.757691472880237,positive,False
4,rural_population_growth_pct,rural_population_growth_pct,-0.0142088584471677,0.00595163235557636,30,6,False,-0.734860239108568,negative,False
4,female_agricultural_employment_pct,female_agricultural_employment_pct,0.0127114266807182,0.00270033635628984,30,2,True,-0.744748414298411,negative,False
4,arable_land_hectares_per_person,arable_land_hectares_per_person,0.152152585522482,0.0196887806899084,30,1,True,0.854997548081748,positive,False
4,fertilizer_consumption_kg_per_hectare_arable_land,fertilizer_consumption_kg_per_hectare_arable_land,0.0111533824547723,0.00584190090471269,30,3,True,0.236496209540486,positive,False
5,electricity_access_pct,electricity_access_pct,-0.00612089150385865,0.00174871964026304,30,6,False,0.587207124072741,positive,False
5,rural_population_pct,rural_population_pct,-0.00224400073120942,0.00101084638795762,30,4,True,0.76268570326066,positive,False
5,rural_population_growth_pct,rural_population_growth_pct,-0.0056971362323482,0.00149899094379673,30,5,True,-0.923853624027269,negative,False
5,female_agricultural_employment_pct,female_agricultural_employment_pct,0.00717728278825619,0.00154096671473045,30,2,True,0.545855038909255,positive,False
5,arable_land_hectares_per_person,arable_land_hectares_per_person,0.0281893508103819,0.0076056133611506,30,1,True,0.894044633095376,positive,False
5,fertilizer_consumption_kg_per_hectare_arable_land,fertilizer_consumption_kg_per_hectare_arable_land,0.00093283525371334,0.00672932505252747,30,3,True,0.632580873368062,positive,False
